Contig.primaryIdentifier	Contig.length	Contig.blastHits.score	Contig.blastHits.blastDomain.symbol	Contig.blastHits.blastDomain.description	Contig.blastHits.blastDomain.species	Contig.blastHits.blastDomain.primaryIdentifier
dd_Smed_v6_48989_0_3	554	5.00E-18	PGBD3	piggyBac transposable element derived 3	Homo sapiens	NP_736609.2
dd_Smed_v6_4899_0_1	1117	1.00E-74	PLSCR1 MMTRA1B	phospholipid scramblase 1	Homo sapiens	NP_066928.1
dd_Smed_v6_489_0_1	6501	2.00E-89	TAOK2 MAP3K17 PSK PSK1 PSK1-BETA TAO1 TAO2	TAO kinase 2	Homo sapiens	NP_004774.1
dd_Smed_v6_489_0_3	3815	7.00E-42	SOCS7 NAP4 NCKAP4	suppressor of cytokine signaling 7	Homo sapiens	XP_005257322.1
dd_Smed_v6_489_0_4	881	3.00E-11	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens	XP_006713358.1
dd_Smed_v6_4900_0_1	2103	4.00E-12	AXIN1 AXIN PPP1R49	axin 1	Homo sapiens	NP_851393.1
dd_Smed_v6_4901_0_1	2715	0	CPT1A CPT1 CPT1-L L-CPT1	carnitine palmitoyltransferase 1A	Homo sapiens	NP_001867.2
dd_Smed_v6_49026_0_2	367	6.00E-23	GFI1B BDPLT17	growth factor independent 1B transcription repressor	Homo sapiens	NP_001128503.1
dd_Smed_v6_49026_0_4	322	5.00E-23	GFI1B BDPLT17	growth factor independent 1B transcription repressor	Homo sapiens	NP_001128503.1
dd_Smed_v6_4902_0_1	1015	5.00E-06	TSPAN3 TM4-A TM4SF8 TSPAN-3	tetraspanin 3	Homo sapiens	NP_001161884.1
dd_Smed_v6_4906_0_1	2149	9.00E-125	PDIA4 ERP70 ERP72 ERp-72	protein disulfide isomerase family A member 4	Homo sapiens	XP_006716248.1
dd_Smed_v6_49073_0_1	797	3.00E-07	GRN CLN11 GEP GP88 PCDGF PEPI PGRN	granulin	Homo sapiens	NP_002078.1
dd_Smed_v6_4907_0_1	1754	2.00E-126	NAE1 A-116A10.1 APPBP1 ula-1	NEDD8 activating enzyme E1 subunit 1	Homo sapiens	NP_003896.1
dd_Smed_v6_4908_0_1	4050	0	C20orf26 dJ1002M8.3 dJ1178H5.4	chromosome 20 open reading frame 26	Homo sapiens	NP_056400.3
dd_Smed_v6_490_0_15	530	4.00E-05	TRAF3 CAP-1 CAP1 CD40bp CRAF1 IIAE5 LAP1	TNF receptor associated factor 3	Homo sapiens	NP_003291.2
dd_Smed_v6_490_0_3	927	2.00E-08	TRAF3 CAP-1 CAP1 CD40bp CRAF1 IIAE5 LAP1	TNF receptor associated factor 3	Homo sapiens	NP_003291.2
dd_Smed_v6_490_0_6	847	8.00E-07	TRAF3 CAP-1 CAP1 CD40bp CRAF1 IIAE5 LAP1	TNF receptor associated factor 3	Homo sapiens	NP_003291.2
dd_Smed_v6_490_0_7	760	3.00E-05	TRAF3 CAP-1 CAP1 CD40bp CRAF1 IIAE5 LAP1	TNF receptor associated factor 3	Homo sapiens	NP_003291.2
dd_Smed_v6_4910_0_1	1726	1.00E-97	SLC17A5 AST ISSD NSD SD SIALIN SIASD SLD	solute carrier family 17 member 5	Homo sapiens	XP_005248767.1
dd_Smed_v6_4912_0_1	1179	9.00E-29	RCCD1	RCC1 domain containing 1	Homo sapiens	NP_291022.2
dd_Smed_v6_4913_0_1	1376	5.00E-51	ATAT1 C6orf134 MEC17 Nbla00487 TAT	alpha tubulin acetyltransferase 1	Homo sapiens	XP_005249478.1
dd_Smed_v6_49142_0_1	684	6.00E-35	LSM14B C20orf40 FAM61B LSM13 RAP55B bA11M20.3	"LSM14B, SCD6 homolog B (S. cerevisiae)"	Homo sapiens	XP_006723778.1
dd_Smed_v6_4917_0_1	2968	2.00E-130	FERMT2 KIND2 MIG2 PLEKHC1 UNC112 UNC112B mig-2	fermitin family member 2	Homo sapiens	NP_006823.1
dd_Smed_v6_4918_0_1	1531	5.00E-17	TMUB2	transmembrane and ubiquitin-like domain containing 2	Homo sapiens	NP_803190.2
dd_Smed_v6_491_0_1	987	6.00E-113	RAB7A PRO2706 RAB7	"RAB7A, member RAS oncogene family"	Homo sapiens	NP_004628.4
dd_Smed_v6_49228_0_1	665	2.00E-20	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens	XP_006713358.1
dd_Smed_v6_49228_0_2	645	2.00E-20	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens	XP_006713358.1
dd_Smed_v6_4924_0_1	973	9.00E-97	PPP3R1 CALNB1 CNB CNB1	"protein phosphatase 3 regulatory subunit B, alpha"	Homo sapiens	NP_000936.1
dd_Smed_v6_4925_0_1	1897	2.00E-97	TPTE2 TPIP	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2	Homo sapiens	NP_954863.2
dd_Smed_v6_4925_0_2	1825	4.00E-103	TPTE2 TPIP	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2	Homo sapiens	NP_954863.2
dd_Smed_v6_4927_0_1	858	3.00E-28	COQ9 C16orf49 COQ10D5	coenzyme Q9	Homo sapiens	NP_064708.1
dd_Smed_v6_4928_0_1	2461	0	GPD2 GDH2 GPDM mGPDH	glycerol-3-phosphate dehydrogenase 2	Homo sapiens	NP_001076581.2
dd_Smed_v6_4929_0_1	2558	7.00E-26	PPP4R1 MEG1 PP4(Rmeg) PP4R1	"protein phosphatase 4, regulatory subunit 1"	Homo sapiens	NP_001035847.1
dd_Smed_v6_4929_0_2	2502	7.00E-26	PPP4R1 MEG1 PP4(Rmeg) PP4R1	protein phosphatase 4 regulatory subunit 1	Homo sapiens	NP_005125.1
dd_Smed_v6_492_0_1	863	2.00E-23	FAM213B C1orf93	family with sequence similarity 213 member B	Homo sapiens	NP_689584.2
dd_Smed_v6_4931_0_1	2740	2.00E-139	OSBP2 HLM ORP-4 ORP4 OSBPL1 OSBPL4	oxysterol binding protein 2	Homo sapiens	NP_001269671.1
dd_Smed_v6_4933_0_1	6897	1.00E-132	KDM5D HY HYA JARID1D SMCY	lysine (K)-specific demethylase 5D	Homo sapiens	XP_005262620.1
dd_Smed_v6_4935_0_1	2350	1.00E-64	NLGN4X ASPGX2 AUTSX2 HLNX HNL4X NLGN4	"neuroligin 4, X-linked"	Homo sapiens	NP_065793.1
dd_Smed_v6_49366_0_1	502	3.00E-07	NPSR1 ASRT2 GPR154 GPRA NPSR PGR14 VRR1	neuropeptide S receptor 1	Homo sapiens	NP_997056.1
dd_Smed_v6_49366_0_2	459	3.00E-16	NPSR1 ASRT2 GPR154 GPRA NPSR PGR14 VRR1	neuropeptide S receptor 1	Homo sapiens	XP_005249812.1
dd_Smed_v6_4938_0_1	1765	1.00E-95	ABHD16A BAT5 D6S82E NG26 PP199	abhydrolase domain containing 16A	Homo sapiens	NP_066983.1
dd_Smed_v6_493_0_1	1231	6.00E-21	RCN2 E6BP ERC-55 ERC55 TCBP49	reticulocalbin 2	Homo sapiens	NP_002893.1
dd_Smed_v6_4941_0_1	2196	2.00E-103	SLC15A1 HPECT1 HPEPT1 PEPT1	solute carrier family 15 member 1	Homo sapiens	NP_005064.1
dd_Smed_v6_4942_0_1	2259	0	PLOD3 LH3	"procollagen-lysine,2-oxoglutarate 5-dioxygenase 3"	Homo sapiens	NP_001075.1
dd_Smed_v6_4946_0_1	1363	7.00E-68	AGPAT4 1-AGPAT4 LPAAT-delta dJ473J16.2	1-acylglycerol-3-phosphate O-acyltransferase 4	Homo sapiens	NP_064518.1
dd_Smed_v6_4947_0_1	1153	4.00E-115	MOGAT2 DGAT2L5 MGAT2	monoacylglycerol O-acyltransferase 2	Homo sapiens	NP_079374.2
dd_Smed_v6_4948_0_1	1962	5.00E-141	MTMR2 CMT4B CMT4B1	myotubularin related protein 2	Homo sapiens	NP_958435.1
dd_Smed_v6_494_0_1	758	5.00E-13	MIEN1 C17orf37 C35 ORB3 RDX12 XTP4	migration and invasion enhancer 1	Homo sapiens	NP_115715.3
dd_Smed_v6_4952_0_1	3830	0	DDB1 DDBA UV-DDB1 XAP1 XPCE XPE XPE-BF	damage specific DNA binding protein 1	Homo sapiens	NP_001914.3
dd_Smed_v6_49530_0_1	1922	1.00E-155	PGK1 HEL-S-68p MIG10 PGKA	phosphoglycerate kinase 1	Homo sapiens	NP_000282.1
dd_Smed_v6_49530_0_2	950	5.00E-110	PGK1 HEL-S-68p MIG10 PGKA	phosphoglycerate kinase 1	Homo sapiens	NP_000282.1
dd_Smed_v6_4955_0_1	946	5.00E-33	CHIC2 BTL	cysteine rich hydrophobic domain 2	Homo sapiens	NP_036242.1
dd_Smed_v6_4956_0_1	2299	1.00E-32	PLXNB2 MM1 Nbla00445 PLEXB2 dJ402G11.3	plexin B2	Homo sapiens	NP_036533.2
dd_Smed_v6_4957_0_1	748	1.00E-82	PPIL3 CYPJ	peptidylprolyl isomerase like 3	Homo sapiens	NP_570981.1
dd_Smed_v6_495_0_1	1833	2.00E-66	QDPR DHPR PKU2 SDR33C1	quinoid dihydropteridine reductase	Homo sapiens	NP_000311.2
dd_Smed_v6_4961_0_1	1887	3.00E-159	MRE11A ATLD HNGS1 MRE11 MRE11B	"MRE11 homolog A, double strand break repair nuclease"	Homo sapiens	NP_005581.2
dd_Smed_v6_4962_0_1	9955	0	FRYL KIAA0826	FRY-like	Homo sapiens	NP_055845.1
dd_Smed_v6_4962_0_2	9937	0	FRYL KIAA0826	FRY-like	Homo sapiens	NP_055845.1
dd_Smed_v6_4964_0_2	886	4.00E-62	RAB11A YL8	"RAB11A, member RAS oncogene family"	Homo sapiens	NP_004654.1
dd_Smed_v6_4969_0_1	2030	1.00E-134	TXNRD2 SELZ TR TR-BETA TR3 TRXR2	thioredoxin reductase 2	Homo sapiens	NP_006431.2
dd_Smed_v6_4969_0_2	1969	2.00E-166	TXNRD2 SELZ TR TR-BETA TR3 TRXR2	thioredoxin reductase 2	Homo sapiens	NP_006431.2
dd_Smed_v6_4970_0_1	1103	7.00E-78	ACP5 SPENCDI TRAP	"acid phosphatase 5, tartrate resistant"	Homo sapiens	NP_001602.1
dd_Smed_v6_4971_0_1	1427	2.00E-79	TMEM144	transmembrane protein 144	Homo sapiens	NP_060812.2
dd_Smed_v6_4973_0_1	1730	2.00E-25	RMND5A CTLH GID2 GID2A RMD5 p44CTLH	required for meiotic nuclear division 5 homolog A	Homo sapiens	NP_073617.1
dd_Smed_v6_4975_0_1	4777	0	AGL GDE	"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"	Homo sapiens	NP_000019.2
dd_Smed_v6_4976_0_1	1153	4.00E-54	KDSR DHSR FVT1 SDR35C1	3-ketodihydrosphingosine reductase	Homo sapiens	XP_006722496.1
dd_Smed_v6_4977_0_1	1121	6.00E-54	PAFAH1B3 PAFAHG	platelet activating factor acetylhydrolase 1b catalytic subunit 3	Homo sapiens	NP_002564.1
dd_Smed_v6_4978_0_1	1016	1.00E-93	CCNC CycC	cyclin C	Homo sapiens	NP_005181.2
dd_Smed_v6_49794_0_1	817	1.00E-32	PRDM13 MU-MB-20.220 PFM10	PR domain 13	Homo sapiens	NP_067633.2
dd_Smed_v6_4979_0_1	810	8.00E-20	MRPS11 HCC-2	mitochondrial ribosomal protein S11	Homo sapiens	XP_005255034.1
dd_Smed_v6_4981_0_1	709	7.00E-17	MRPS28 MRP-S28 MRP-S35 MRPS35	mitochondrial ribosomal protein S28	Homo sapiens	NP_054737.1
dd_Smed_v6_49825_0_1	570	7.00E-101	TUBA1A B-ALPHA-1 LIS3 TUBA3	tubulin alpha 1a	Homo sapiens	NP_001257329.1
dd_Smed_v6_4982_0_1	605	1.00E-09	MRPL55 AAVG5835 L55nt MRP-L55 PRO19675	mitochondrial ribosomal protein L55	Homo sapiens	NP_852106.1
dd_Smed_v6_4985_0_1	1165	2.00E-66	GPN1 ATPBD1A MBDIN NTPBP RPAP4 XAB1	GPN-loop GTPase 1	Homo sapiens	NP_001138519.1
dd_Smed_v6_4986_0_1	904	2.00E-63	CASP3 CPP32 CPP32B SCA-1	caspase 3	Homo sapiens	NP_116786.1
dd_Smed_v6_49898_0_1	958	2.00E-07	TIGD1 EEYORE	tigger transposable element derived 1	Homo sapiens	NP_663748.1
dd_Smed_v6_4989_0_1	1555	0	COPS2 ALIEN CSN2 SGN2 TRIP15	COP9 signalosome subunit 2	Homo sapiens	NP_004227.1
dd_Smed_v6_49903_0_1	945	1.00E-05	C9orf116 PIERCE1 RbEST47	chromosome 9 open reading frame 116	Homo sapiens	NP_001041730.1
dd_Smed_v6_4991_0_1	742	1.00E-57	DCTN6 WS-3 WS3 p27	dynactin subunit 6	Homo sapiens	NP_006562.1
dd_Smed_v6_4994_0_1	2009	2.00E-130	NOP56 NOL5A SCA36	NOP56 ribonucleoprotein	Homo sapiens	NP_006383.2
dd_Smed_v6_49957_0_1	1695	2.00E-33	KIAA0430 LKAP MARF1 PPP1R34	KIAA0430	Homo sapiens	NP_055462.2
dd_Smed_v6_4997_0_1	1610	1.00E-57	MARCH1 MARCH-I RNF171	membrane associated ring-CH-type finger 1	Homo sapiens	NP_001159845.1
dd_Smed_v6_4997_0_2	1567	8.00E-58	MARCH1 MARCH-I RNF171	membrane associated ring-CH-type finger 1	Homo sapiens	NP_001159845.1
dd_Smed_v6_49988_0_1	984	2.00E-34	SP8 BTD	Sp8 transcription factor	Homo sapiens	NP_874359.2
dd_Smed_v6_4998_1_1	288	5.00E-14	SCX SCXA SCXB bHLHa48	scleraxis basic helix-loop-helix transcription factor	Homo sapiens	NP_001073983.1
dd_Smed_v6_50003_0_1	409	2.00E-16	ADRA1A ADRA1C ADRA1L1 ALPHA1AAR	adrenoceptor alpha 1A	Homo sapiens	NP_150646.3
dd_Smed_v6_5000_0_1	1093	9.00E-32	EMC7 C11orf3 C15orf24 ORF1-FL1	ER membrane protein complex subunit 7	Homo sapiens	NP_064539.1
dd_Smed_v6_5002_0_1	650	6.00E-40	ETFA EMA GA2 MADD	electron transfer flavoprotein alpha subunit	Homo sapiens	NP_000117.1
dd_Smed_v6_50035_0_1	1245	5.00E-85	KIF12	kinesin family member 12	Homo sapiens	XP_005251742.1
dd_Smed_v6_5004_0_1	1294	2.00E-48	RNF185	ring finger protein 185	Homo sapiens	NP_689480.2
dd_Smed_v6_50057_0_1	386	2.00E-23	PPP4C PP4 PP4C PPH3 PPP4 PPX	"protein phosphatase 4, catalytic subunit"	Homo sapiens	NP_002711.1
dd_Smed_v6_5006_0_1	1771	5.00E-71	ERLEC1 C2orf30 CIM CL24936 CL25084 HEL117 XTP3-B XTP3TPB	endoplasmic reticulum lectin 1	Homo sapiens	NP_056516.2
dd_Smed_v6_5006_0_2	1589	5.00E-43	ERLEC1 C2orf30 CIM CL24936 CL25084 HEL117 XTP3-B XTP3TPB	endoplasmic reticulum lectin 1	Homo sapiens	NP_056516.2
dd_Smed_v6_5007_0_1	2846	1.00E-97	SLC30A2 PP12488 TNZD ZNT2 ZnT-2	solute carrier family 30 member 2	Homo sapiens	NP_001004434.1
dd_Smed_v6_5007_0_2	2786	2.00E-102	SLC30A2 PP12488 TNZD ZNT2 ZnT-2	solute carrier family 30 member 2	Homo sapiens	NP_001004434.1
dd_Smed_v6_5007_0_3	1432	1.00E-102	SLC30A2 PP12488 TNZD ZNT2 ZnT-2	solute carrier family 30 member 2	Homo sapiens	NP_001004434.1
dd_Smed_v6_5007_0_4	1372	7.00E-107	SLC30A2 PP12488 TNZD ZNT2 ZnT-2	solute carrier family 30 member 2	Homo sapiens	NP_001004434.1
dd_Smed_v6_5008_0_1	2686	0	OPLAH 5-Opase OPLA OPLAHD	5-oxoprolinase (ATP-hydrolysing)	Homo sapiens	NP_060040.1
dd_Smed_v6_5008_0_2	2382	9.00E-71	OPLAH 5-Opase OPLA OPLAHD	5-oxoprolinase (ATP-hydrolysing)	Homo sapiens	NP_060040.1
dd_Smed_v6_5009_0_1	725	8.00E-63	VPS25 DERP9 EAP20 FAP20	vacuolar protein sorting 25 homolog	Homo sapiens	NP_115729.1
dd_Smed_v6_5010_0_1	1376	5.00E-09	C10orf82	chromosome 10 open reading frame 82	Homo sapiens	XP_005269613.1
dd_Smed_v6_5011_0_1	2105	1.00E-101	PAPD7 LAK-1 LAK1 POLK POLS TRF4 TRF4-1 TRF41 TUTASE5	PAP associated domain containing 7	Homo sapiens	XP_005248291.1
dd_Smed_v6_50143_0_1	1189	8.00E-09	NPHS1 CNF NPHN nephrin	"nephrosis 1, congenital, Finnish type (nephrin)"	Homo sapiens	XP_005259018.1
dd_Smed_v6_5014_0_1	2349	6.00E-107	FHL2 AAG11 DRAL FHL-2 SLIM-3 SLIM3	four and a half LIM domains 2	Homo sapiens	XP_005263958.1
dd_Smed_v6_50157_0_1	724	1.00E-15	MARCH3 MARCH-III RNF173	membrane associated ring-CH-type finger 3	Homo sapiens	NP_848545.1
dd_Smed_v6_5017_0_1	1592	0	ETF1 D5S1995 ERF ERF1 RF1 SUP45L1 TB3-1	eukaryotic translation termination factor 1	Homo sapiens	NP_004721.1
dd_Smed_v6_50188_0_1	477	4.00E-15	TRAF1 EBI6 MGC:10353	TNF receptor associated factor 1	Homo sapiens	NP_001177876.1
dd_Smed_v6_5018_0_1	476	7.00E-17	LYRM1 A211C6.1	LYR motif containing 1	Homo sapiens	NP_065157.1
dd_Smed_v6_5020_0_1	2535	1.00E-136	CASD1 C7orf12 NBLA04196	CAS1 domain containing 1	Homo sapiens	NP_075051.4
dd_Smed_v6_5020_0_2	2124	5.00E-122	CASD1 C7orf12 NBLA04196	CAS1 domain containing 1	Homo sapiens	XP_006716155.1
dd_Smed_v6_5025_0_1	965	1.00E-106	ARL2 ARFL2	ADP ribosylation factor like GTPase 2	Homo sapiens	NP_001658.2
dd_Smed_v6_50260_0_1	403	2.00E-06	FAM78A C9orf59	family with sequence similarity 78 member A	Homo sapiens	NP_203745.2
dd_Smed_v6_5028_0_1	2736	2.00E-125	PIK3C3 VPS34 hVps34	"phosphatidylinositol 3-kinase, catalytic subunit type 3"	Homo sapiens	NP_002638.2
dd_Smed_v6_5029_0_1	1013	2.00E-64	AMMECR1L	AMMECR1-like	Homo sapiens	XP_005263861.1
dd_Smed_v6_5029_0_2	836	2.00E-73	AMMECR1 AMMERC1	"Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1"	Homo sapiens	NP_001165160.1
dd_Smed_v6_5029_0_3	811	5.00E-50	AMMECR1 AMMERC1	"Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1"	Homo sapiens	NP_001165160.1
dd_Smed_v6_502_0_1	892	4.00E-35	RMDN1 FAM82B RMD-1 RMD1	regulator of microtubule dynamics 1	Homo sapiens	NP_057117.2
dd_Smed_v6_5030_0_1	1196	2.00E-57	CALB2 CAB29 CAL2 CR	calbindin 2	Homo sapiens	NP_001731.2
dd_Smed_v6_50311_0_1	488	2.00E-65	TUBA8 TUBAL2	tubulin alpha 8	Homo sapiens	NP_001180343.1
dd_Smed_v6_5032_0_1	713	8.00E-10	UBL4A DX254E DXS254E G6PD GDX GET5 MDY2 TMA24 UBL4	ubiquitin like 4A	Homo sapiens	NP_055050.1
dd_Smed_v6_5033_0_1	2526	7.00E-77	MTMR2 CMT4B CMT4B1	myotubularin related protein 2	Homo sapiens	NP_958435.1
dd_Smed_v6_5036_0_1	1472	2.00E-24	ZC3H12C MCPIP3	zinc finger CCCH-type containing 12C	Homo sapiens	XP_005271774.1
dd_Smed_v6_5038_0_1	842	2.00E-14	FAM109A IPIP27A SES1	family with sequence similarity 109 member A	Homo sapiens	NP_653272.2
dd_Smed_v6_5039_0_1	2816	1.00E-26	ZNF598	zinc finger protein 598	Homo sapiens	NP_835461.2
dd_Smed_v6_5040_0_1	2275	7.00E-151	SLC9A8 NHE-8 NHE8	"solute carrier family 9, subfamily A (NHE8, cation proton antiporter 8), member 8"	Homo sapiens	NP_056081.1
dd_Smed_v6_50427_0_1	815	6.00E-15	AK5 AK6	adenylate kinase 5	Homo sapiens	XP_005270796.1
dd_Smed_v6_5042_0_1	4508	2.00E-151	ATP10A ATP10C ATPVA ATPVC	ATPase phospholipid transporting 10A (putative)	Homo sapiens	NP_077816.1
dd_Smed_v6_5043_0_1	1758	5.00E-141	IFT52 C20orf9 CGI-53 NGD2 NGD5 dJ1028D15.1	intraflagellar transport 52	Homo sapiens	NP_057088.2
dd_Smed_v6_5045_0_1	2498	9.00E-123	CNOT6 CCR4 Ccr4a	"CCR4-NOT transcription complex, subunit 6"	Homo sapiens	NP_056270.2
dd_Smed_v6_5046_0_1	2925	0	ANO7 D-TMPP DTMPP IPCA-5 IPCA5 NGEP PCANAP5 PCANAP5L TMEM16G	anoctamin 7	Homo sapiens	NP_001001891.2
dd_Smed_v6_5049_0_1	933	6.00E-14	RAB6A RAB6	"RAB6A, member RAS oncogene family"	Homo sapiens	NP_942599.1
dd_Smed_v6_5051_0_1	2100	5.00E-37	ALKBH3 ABH3 DEPC-1 DEPC1 PCA1	"alkB, alkylation repair homolog 3 (E. coli)"	Homo sapiens	NP_631917.1
dd_Smed_v6_5054_0_1	2694	0	GMPS	guanine monophosphate synthase	Homo sapiens	NP_003866.1
dd_Smed_v6_5055_0_1	1458	0	RBBP4 NURF55 RBAP48 lin-53	retinoblastoma binding protein 4	Homo sapiens	NP_005601.1
dd_Smed_v6_5058_0_1	4431	4.00E-33	ZNF226	zinc finger protein 226	Homo sapiens	NP_001027544.1
dd_Smed_v6_5059_0_1	1253	3.00E-117	COX15 CEMCOX2	COX15 cytochrome c oxidase assembly homolog	Homo sapiens	NP_510870.1
dd_Smed_v6_50600_0_1	612	3.00E-22	SH3GLB1 Bif-1 PPP1R70 dJ612B15.2	SH3-domain GRB2-like endophilin B1	Homo sapiens	NP_057093.1
dd_Smed_v6_5060_0_1	510	3.00E-15	NOP16 HSPC111 HSPC185	NOP16 nucleolar protein	Homo sapiens	NP_057475.2
dd_Smed_v6_5065_0_1	2420	0	ARMC4 CILD23	armadillo repeat containing 4	Homo sapiens	NP_060546.2
dd_Smed_v6_5066_0_1	2259	6.00E-98	SLC26A5 DFNB61 PRES	solute carrier family 26 member 5	Homo sapiens	NP_945350.1
dd_Smed_v6_5069_0_17	2513	6.00E-78	CLASP1 MAST1	cytoplasmic linker associated protein 1	Homo sapiens	XP_006712446.1
dd_Smed_v6_5069_0_18	2453	1.00E-38	CLASP1 MAST1	cytoplasmic linker associated protein 1	Homo sapiens	XP_006712447.1
dd_Smed_v6_506_0_1	444	2.00E-48	HIST1H4A H4FA	"histone cluster 1, H4a"	Homo sapiens	NP_003529.1
dd_Smed_v6_5070_0_1	2748	3.00E-100	NUP107 NUP84	nucleoporin 107kDa	Homo sapiens	NP_065134.1
dd_Smed_v6_5072_0_1	1099	9.00E-138	TSTA3 FX P35B SDR4E1	tissue specific transplantation antigen P35B	Homo sapiens	NP_003304.1
dd_Smed_v6_5073_0_1	1851	2.00E-50	BMS1 BMS1L	BMS1 ribosome biogenesis factor	Homo sapiens	XP_005271906.1
dd_Smed_v6_5073_0_2	1824	2.00E-50	BMS1 BMS1L	BMS1 ribosome biogenesis factor	Homo sapiens	XP_005271906.1
dd_Smed_v6_5073_0_3	1797	2.00E-50	BMS1 BMS1L	BMS1 ribosome biogenesis factor	Homo sapiens	XP_005271906.1
dd_Smed_v6_5073_0_4	1770	1.00E-50	BMS1 BMS1L	BMS1 ribosome biogenesis factor	Homo sapiens	XP_005271906.1
dd_Smed_v6_5076_0_1	3031	6.00E-77	COL4A3BP CERT CERTL GPBP STARD11	"collagen, type IV, alpha 3 (Goodpasture antigen) binding protein"	Homo sapiens	NP_112729.1
dd_Smed_v6_5080_0_1	3599	0	DDX23 PRPF28 SNRNP100 U5-100K U5-100KD prp28	DEAD-box helicase 23	Homo sapiens	NP_004809.2
dd_Smed_v6_5081_0_1	4249	1.00E-63	SOS1 GF1 GGF1 GINGF HGF NS4	SOS Ras/Rac guanine nucleotide exchange factor 1	Homo sapiens	NP_005624.2
dd_Smed_v6_50825_0_1	698	8.00E-06	FAM98B	"family with sequence similarity 98, member B"	Homo sapiens	NP_775882.2
dd_Smed_v6_5082_0_1	1493	2.00E-154	GNAQ CMC1 G-ALPHA-q GAQ SWS	G protein subunit alpha q	Homo sapiens	NP_002063.2
dd_Smed_v6_5082_0_2	1455	6.00E-151	GNAI3 87U6 ARCND1	G protein subunit alpha i3	Homo sapiens	NP_006487.1
dd_Smed_v6_5082_0_3	1116	0	GNAQ CMC1 G-ALPHA-q GAQ SWS	G protein subunit alpha q	Homo sapiens	NP_002063.2
dd_Smed_v6_5082_0_4	1078	6.00E-141	GNAQ CMC1 G-ALPHA-q GAQ SWS	G protein subunit alpha q	Homo sapiens	NP_002063.2
dd_Smed_v6_50837_0_1	555	8.00E-05	TIGD1 EEYORE	tigger transposable element derived 1	Homo sapiens	NP_663748.1
dd_Smed_v6_5083_0_1	2385	1.00E-163	ATG7 APG7-LIKE APG7L GSA7	autophagy related 7	Homo sapiens	NP_006386.1
dd_Smed_v6_5086_0_1	1700	7.00E-64	PNPO HEL-S-302 PDXPO	pyridoxamine 5'-phosphate oxidase	Homo sapiens	NP_060599.1
dd_Smed_v6_5088_0_1	1821	1.00E-49	TSSC1	tumor suppressing subtransferable candidate 1	Homo sapiens	NP_003301.1
dd_Smed_v6_5088_0_2	1765	8.00E-60	TSSC1	tumor suppressing subtransferable candidate 1	Homo sapiens	NP_003301.1
dd_Smed_v6_5088_0_3	1303	2.00E-80	TSSC1	tumor suppressing subtransferable candidate 1	Homo sapiens	NP_003301.1
dd_Smed_v6_5088_0_4	1247	7.00E-101	TSSC1	tumor suppressing subtransferable candidate 1	Homo sapiens	NP_003301.1
dd_Smed_v6_5089_0_1	2021	7.00E-103	PPP1R37 LRRC68	protein phosphatase 1 regulatory subunit 37	Homo sapiens	NP_061994.1
dd_Smed_v6_508_0_1	1744	0	TUBA1C TUBA6 bcm948	tubulin alpha 1c	Homo sapiens	NP_116093.1
dd_Smed_v6_508_0_2	1726	0	TUBA1C TUBA6 bcm948	tubulin alpha 1c	Homo sapiens	NP_116093.1
dd_Smed_v6_508_0_3	1717	0	TUBA1C TUBA6 bcm948	tubulin alpha 1c	Homo sapiens	NP_116093.1
dd_Smed_v6_508_0_4	1699	0	TUBA1C TUBA6 bcm948	tubulin alpha 1c	Homo sapiens	NP_116093.1
dd_Smed_v6_5094_0_1	1792	4.00E-33	VTI1A MMDS3 MVti1 VTI1RP2 Vti1-rp2	vesicle transport through interaction with t-SNAREs 1A	Homo sapiens	NP_660207.2
dd_Smed_v6_50968_0_1	1244	2.00E-99	POLK DINB1 DINP POLQ	polymerase (DNA) kappa	Homo sapiens	XP_005248593.1
dd_Smed_v6_5104_0_1	1531	4.00E-90	RBBP4 NURF55 RBAP48 lin-53	retinoblastoma binding protein 4	Homo sapiens	NP_001128727.1
dd_Smed_v6_5105_0_1	618	5.00E-24	GOLT1B GCT2 GOT1 GOT1B YMR292W	golgi transport 1B	Homo sapiens	NP_057156.1
dd_Smed_v6_5108_0_1	2152	2.00E-19	SART1 Ara1 HOMS1 SART1259 SNRNP110 Snu66	squamous cell carcinoma antigen recognized by T-cells 1	Homo sapiens	NP_005137.1
dd_Smed_v6_5109_0_1	3031	6.00E-42	IVNS1ABP FLARA3 HSPC068 KLHL39 ND1 NS-1 NS1-BP NS1BP	influenza virus NS1A binding protein	Homo sapiens	NP_006460.2
dd_Smed_v6_510_0_1	1568	0	ENO1 ENO1L1 MPB1 NNE PPH	"enolase 1, (alpha)"	Homo sapiens	NP_001419.1
